
bryanaa,1410991116170
guest7,1411657383178
nil1503,1410638205500
theshattered,1411664560745
satou101,1410638304781
skullkid00,1410893346814
guest11,1411309178055
guest18,1411310989393
guest30,1410793891778
guest9,1411070134278
danitzamakarena,1410639768802
guest10,1411331243213
uhl,1410639983915
perezerik915,1410704423591
christian999,1410898569059
blackpetals,1410988812713
duelist45,1410641485365
daquel,1410641564207
littlekiddos,1410641723788
megacharizardgr,1410641933381
fhga,1410642102731
nrvenonx,1410802274659
paradoxter1999,1411077519958
guest8,1411657416830
guest12,1410726131203
guest14,1410642906524
guest20,1411311404205
ereje01,1410707699905
megaratiosu,1411070140752
xtakahashihikarix,1411578479301
masukara,1410645137683
mooncresselia,1410645535703
guest36,1410965700908
guest37,1410795230509
christian199,1410646053497
kingvenonx,1410794147185
pinsir01afk,1410696766109
lt1amrzoroark,1410702118203
xule,1410702123793
filosstyle,1410702177427
chemitarey,1410702193849
theboypandaxd,1410702255895
chtakanosan,1410702263335
lemmy,1410717664231
silverkira,1410702421416
mortal6,1410703677384
awesomeberenjena,1410704869502
guest24,1410904990070
akanechan38,1410707064412
guest29,1411316492356
rigomadafesio,1410712161148
manuelgomezpino,1411331208224
alejandrotf,1410711770041
guest39,1410965780951
lolazo,1410708290714
mart,1410708297214
pokegamer2000,1410711356749
guest46,1410708379660
pokegenio,1411080839997
pquer,1410708588067
xpertopoke,1410792851376
lostseso,1410991712242
elsanto,1410709883046
rrelite4nexorap,1410709978308
totodile56,1410712015070
natashapkm,1410710133192
guest60,1410710255683
silverspain,1410710372918
rockthatbody,1410732828033
ivanrubius,1410711104402
slendeer,1410711447400
guest77,1410711796109
guest80,1410711837885
blacksteel7,1410712055645
caraalsol,1410712708905
zigfrid,1410712524263
ecuacion,1410712666302
klaymore,1411319205017
torterra7,1411063599634
absolsweep3,1411317106930
yolopoke11,1410713855409
jonathan03,1410714456848
guest92,1410988831346
jspeed,1410713990344
nayara20,1410714456843
raddical,1410800620052
masterdpokimon,1411320100338
sergiocraft100000,1411310004153
brau16,1410800633403
guest107,1410715200572
enzuka,1410730740989
licor43,1410801183316
coliflohpower,1410723594740
pokiroki,1410723676982
raylox,1410723857061
arbandu,1410992707236
guest5,1411498529933
guest6,1411577186178
juanblaze,1410725328605
enigmaticyt,1410725751035
memoriesguardian,1410726029495
josaeia,1410726046198
draco777,1410726173110
octavio14,1410726449320
juanchoren,1410811165065
bdiunsvczlp,1410729204817
guest31,1410814606614
pkmntrainerjaier,1411325443894
white2967,1411250398998
ophidus,1410788206960
xevilx,1410964719109
troygamer,1410790394188
pinsir01,1410792414505
guest17,1411080750094
guest25,1410793617680
jpn,1410992722627
claraowald,1410794751878
ronaldoshi,1410795687617
folanito,1410795980502
nightmre,1410979611203
tinkerbelle,1410797340849
darkwolf156,1410968317538
nacho799,1410800131369
guest52,1410800136229
guest2,1411324159858
ninjagoldfish,1410800843527
